,Customer,Building,BuildingType,Area,BuildingYear,Electricity2019,Electricity2020,Heating2019,Heating2020,Energy2019,Energy2020,EnergyperArea2019
194,Tropikfåglarna,Hussvala,Flerbostadshus,123,null,735.4308943,554.1885422,6093.178085,5860.731707,6828.608979,6414.92025,55.51714617
231,Trappfåglarna,Gråhalsad Trast,Flerbostadshus,126,1985,344.9278572,355.5573016,484.2063492,429.4761905,829.1342064,785.0334921,6.58043021
41,Trädhönsen,Bergfink,Kontor,239,1922,56.64078598,57.38912134,152.6317992,141.2133891,209.2725851,198.6025105,0.8756175111
193,Tropikfåglarna,Rostskogstrast,Flerbostadshus,1234,null,77.78768233,76.91061021,983.2997798,931.2155592,1061.087462,1008.126169,0.8598763875
237,Trappfåglarna,Kopparand,Flerbostadshus,1056,null,6.393409089,6.826619318,655.2935606,683.3778409,661.6869697,690.2044602,0.6265975092
235,Trappfåglarna,Vandringstrast,Flerbostadshus,1182,null,5.399923008,5.627910321,670.6683587,714.4187817,676.0682817,720.046692,0.5719697815
37,Trädhönsen,Medelhavsstenskvätta,Kontor,420,1922,51.60265937,75.68809524,106.0619048,103.5071429,157.6645641,179.1952381,0.3753918194
163,Simrallarna,Vitgumpad/Stejnegers Buskskvätta,Kontor,324,2012,41.80661728,46.39154012,75.83480392,72.86598965,117.6414212,119.2575298,0.3630908062
165,Simrallarna,Orientvadarsvala,Kontor,319,1927,1.578934169,1.780376176,113.28483,124.1579533,114.8637642,125.9383295,0.360074496
346,Simrallarna,Häcksparv,Flerbostadshus,564,1950,0.0005265957447,0.0004432624113,196.2367369,241.7627736,196.2372635,241.7632168,0.3479384104
356,Simrallarna,Videsångare,Flerbostadshus,380,1945,6.0993421,6.937,123.9592828,115.619103,130.0586249,122.556103,0.3422595391
222,Trappfåglarna,Vitögd Dykand,Flerbostadshus,1448,1960,11.18566644,14.45901174,463.7361878,383.0414365,474.9218543,397.5004482,0.327984706
212,Trappfåglarna,Gråhuvad Sparv,Flerbostadshus,426,1880,9.338849763,8.779741784,128.9335798,125.2769953,138.2724296,134.0567371,0.324583168
90,Doppingarna,Krushuvad Pelikan,Kontor,425,null,40.32428639,24.68853107,93.09786665,57.61832157,133.422153,82.30685264,0.3139344777
213,Trappfåglarna,Bergand,Flerbostadshus,601,1930,7.343648917,6.585023295,147.5973378,149.0049917,154.9409867,155.590015,0.2578053023
164,Simrallarna,Fjälluggla,Kontor,840,1920,35.03166667,44.71,181.4610738,193.23702,216.4927404,237.94702,0.2577294529
233,Trappfåglarna,Rödtrast,Flerbostadshus,2335,null,16.22162741,17.01385011,584.1541756,690.7623126,600.375803,707.7761627,0.2571202582
166,Simrallarna,Svarthuvad Trut,Kontor,551,2010,32.66878403,33.16250454,103.6837515,93.5338095,136.3525355,126.696314,0.2474637668
223,Trappfåglarna,Vattenrall,Flerbostadshus,1461,1966,34.45271595,35.80563792,311.0335387,288.0355921,345.4862546,323.84123,0.2364724535
32,Trädhönsen,Kaja,Kontor,600,1922,32.35296,26.9575,101.1133333,80.335,133.4662933,107.2925,0.2224438222
36,Trädhönsen,Bändelkorsnäbb,Kontor,548,1922,40.9964313,37.35218978,73.96532847,72.34306569,114.9617598,109.6952555,0.2097842332
205,Trappfåglarna,Beigekindad Skogstrast,Flerbostadshus,1448,1957,11.31239296,10.94247928,282.3980801,261.4640884,293.7104731,272.4065677,0.2028387245
245,Trappfåglarna,Trädmås,Flerbostadshus,1935,1996,21.50651163,21.98499483,353.400896,330.4749354,374.9074076,352.4599302,0.1937505983
